Participant ID,Time,Trial Number,Number of Bounces,Score,Target Height,Target Radius,Number of Paddles
0,31.13935,1,5,0,0.542413,0.05,1
0,34.79984,2,7,0,0.542413,0.05,1
0,38.62104,3,5,0,0.542413,0.05,1
0,41.01085,4,2,0,0.542413,0.05,1
0,43.50171,5,3,0,0.542413,0.05,1
0,45.90297,6,1,0,0.542413,0.05,1
0,48.65397,7,3,0,0.542413,0.05,1
0,50.59831,8,2,0,0.542413,0.05,1
0,52.74913,9,3,0,0.542413,0.05,1
0,55.09797,10,2,0,0.542413,0.05,1
0,62.55707,11,5,0,0.542413,0.05,1
0,66.25607,12,5,0,0.542413,0.05,1
0,68.63368,13,3,0,0.542413,0.05,1
0,71.20213,14,3,0,0.542413,0.05,1
0,73.1235,15,2,0,0.542413,0.05,1
0,75.11072,16,2,0,0.542413,0.05,1
0,85.20955,18,1,0,0.542413,0.05,1
0,86.29396,19,1,0,0.542413,0.05,1
0,87.34379,20,1,0,0.542413,0.05,1
0,89.44337,21,1,0,0.542413,0.05,1
0,91.24075,22,1,0,0.542413,0.05,1
0,94.80346,23,4,0,0.542413,0.05,1
0,97.66302,24,3,0,0.542413,0.05,1
0,101.0391,25,3,0,0.542413,0.05,1
0,104.8227,26,5,0,0.542413,0.05,1
0,107.2889,27,3,0,0.542413,0.05,1
0,109.5365,28,1,0,0.542413,0.05,1
0,111.1785,29,2,0,0.542413,0.05,1
0,113.5129,30,3,0,0.542413,0.05,1
0,115.6587,31,2,0,0.542413,0.05,1
0,192.57,32,3,0,0.542413,0.05,1
